precision,recall
0.21542940320232898,0.9932885906040269
0.21574344023323616,0.9932885906040269
0.21605839416058395,0.9932885906040269
0.21637426900584794,0.9932885906040269
0.21669106881405564,0.9932885906040269
0.21700879765395895,0.9932885906040269
0.2173274596182085,0.9932885906040269
0.21764705882352942,0.9932885906040269
0.21796759941089838,0.9932885906040269
0.2182890855457227,0.9932885906040269
0.21861152141802068,0.9932885906040269
0.21893491124260356,0.9932885906040269
0.21925925925925926,0.9932885906040269
0.2195845697329377,0.9932885906040269
0.2199108469539376,0.9932885906040269
0.22023809523809523,0.9932885906040269
0.22056631892697467,0.9932885906040269
0.2208955223880597,0.9932885906040269
0.22122571001494767,0.9932885906040269
0.2215568862275449,0.9932885906040269
0.22188905547226387,0.9932885906040269
0.2222222222222222,0.9932885906040269
0.22255639097744362,0.9932885906040269
0.22289156626506024,0.9932885906040269
0.22322775263951736,0.9932885906040269
0.22356495468277945,0.9932885906040269
0.22390317700453857,0.9932885906040269
0.22424242424242424,0.9932885906040269
0.22458270106221548,0.9932885906040269
0.22492401215805471,0.9932885906040269
0.2252663622526636,0.9932885906040269
0.22560975609756098,0.9932885906040269
0.22595419847328244,0.9932885906040269
0.22629969418960244,0.9932885906040269
0.22664624808575803,0.9932885906040269
0.22699386503067484,0.9932885906040269
0.22734254992319508,0.9932885906040269
0.2276923076923077,0.9932885906040269
0.2280431432973806,0.9932885906040269
0.22839506172839505,0.9932885906040269
0.2287480680061824,0.9932885906040269
0.22910216718266255,0.9932885906040269
0.22981366459627328,0.9932885906040269
0.2301710730948678,0.9932885906040269
0.23052959501557632,0.9932885906040269
0.23125,0.9932885906040269
0.23161189358372458,0.9932885906040269
0.23197492163009403,0.9932885906040269
0.23233908948194662,0.9932885906040269
0.23270440251572327,0.9932885906040269
0.23307086614173228,0.9932885906040269
0.2334384858044164,0.9932885906040269
0.23380726698262244,0.9932885906040269
0.23417721518987342,0.9932885906040269
0.23454833597464342,0.9932885906040269
0.23492063492063492,0.9932885906040269
0.23529411764705882,0.9932885906040269
0.2356687898089172,0.9932885906040269
0.23604465709728867,0.9932885906040269
0.2364217252396166,0.9932885906040269
0.2368,0.9932885906040269
0.23717948717948717,0.9932885906040269
0.2375601926163724,0.9932885906040269
0.2379421221864952,0.9932885906040269
0.23832528180354268,0.9932885906040269
0.23870967741935484,0.9932885906040269
0.23909531502423265,0.9932885906040269
0.23948220064724918,0.9932885906040269
0.23987034035656402,0.9932885906040269
0.24025974025974026,0.9932885906040269
0.24065040650406505,0.9932885906040269
0.24104234527687296,0.9932885906040269
0.24143556280587275,0.9932885906040269
0.24183006535947713,0.9932885906040269
0.24222585924713586,0.9932885906040269
0.24262295081967214,0.9932885906040269
0.24302134646962234,0.9932885906040269
0.24342105263157895,0.9932885906040269
0.24422442244224424,0.9932885906040269
0.24462809917355371,0.9932885906040269
0.24503311258278146,0.9932885906040269
0.24543946932006633,0.9932885906040269
0.24584717607973422,0.9932885906040269
0.24625623960066556,0.9932885906040269
0.24666666666666667,0.9932885906040269
0.24707846410684475,0.9932885906040269
0.24749163879598662,0.9932885906040269
0.24790619765494137,0.9932885906040269
0.2483221476510067,0.9932885906040269
0.24915824915824916,0.9932885906040269
0.24957841483979765,0.9932885906040269
0.25,0.9932885906040269
0.25042301184433163,0.9932885906040269
0.25084745762711863,0.9932885906040269
0.25127334465195245,0.9932885906040269
0.25170068027210885,0.9932885906040269
0.252129471890971,0.9932885906040269
0.2525597269624573,0.9932885906040269
0.252991452991453,0.9932885906040269
0.2534246575342466,0.9932885906040269
0.2538593481989708,0.9932885906040269
0.2542955326460481,0.9932885906040269
0.25517241379310346,0.9932885906040269
0.2556131260794473,0.9932885906040269
0.2560553633217993,0.9932885906040269
0.2564991334488735,0.9932885906040269
0.2569444444444444,0.9932885906040269
0.2573913043478261,0.9932885906040269
0.2578397212543554,0.9932885906040269
0.2582897033158813,0.9932885906040269
0.25874125874125875,0.9932885906040269
0.2591943957968476,0.9932885906040269
0.2596491228070175,0.9932885906040269
0.2601054481546573,0.9932885906040269
0.2605633802816901,0.9932885906040269
0.26102292768959434,0.9932885906040269
0.26148409893992935,0.9932885906040269
0.26194690265486725,0.9932885906040269
0.2624113475177305,0.9932885906040269
0.26287744227353466,0.9932885906040269
0.26334519572953735,0.9932885906040269
0.2638146167557932,0.9932885906040269
0.26475849731663686,0.9932885906040269
0.26523297491039427,0.9932885906040269
0.26570915619389585,0.9932885906040269
0.26618705035971224,0.9932885906040269
0.26666666666666666,0.9932885906040269
0.26763110307414106,0.9932885906040269
0.26811594202898553,0.9932885906040269
0.26860254083484575,0.9932885906040269
0.2690909090909091,0.9932885906040269
0.26958105646630237,0.9932885906040269
0.27007299270072993,0.9932885906040269
